*** 1 - 10 (/course/185945/spanish-adjectives/1/)	
primero	primary
bullanguero	"fun-loving, lively, rowdy"
deslumbrador	glaring
arriano	Arian
erosivo	erosive
horripilante	"horrifying, creepy, grisly"
insolidario	unsupportive
exultante	"elated, overjoyed, jubilant"
ceremonioso	"formal, ceremonious"
gimnástico	gymnastic
melodramático	melodramatic
*** 3861 - 3870 (/course/185945/spanish-adjectives/387/)	
arabesco	arabesque
indecoroso	"improper, indecorous, indelicate"
indistinguible	indistinguishable
pestilente	"pestilential, foul, smelly"
antinatural	unnatural
muchachito	"teenager, young girl, girl"
bacteriológico	bacteriological
depredador	predatory
preservativo	preservative
fraccionado	fractional
*** 3871 - 3880 (/course/185945/spanish-adjectives/388/)	
galopante	"galloping, rampant, rapidly advancing"
inaudible	inaudible
inventivo	"inventive, resourceful"
domado	tame
bicolor	"bicolor, bicolour, two-tone"
maníaco	"maniac, maniacal"
flamígero	perpendicular
consonántico	consonantal
inconmovible	immovable
insurrecto	insurgent
*** 3881 - 3890 (/course/185945/spanish-adjectives/389/)	
retráctil	retractable
macilento	"gaunt, adj"
cinemático	"kinematic, cinematic"
potásico	potassic
dilatorio	dilatory
regalón	"fond of giving presents, generous"
hiperactivo	"hyperactive, hyper"
endemoniado	"possessed, evil, wicked"
cesante	"unemployed, out of work"
calamitoso	"calamitous, dire"
*** 3891 - 3900 (/course/185945/spanish-adjectives/390/)	
efusivo	"effusive, gushing, warm"
imbricado	"overlapping, partially covered, imbricated"
dirigible	dirigible
portable	portable
sideral	sidereal
hortelano	garden
mahometano	"Mohammedan, Mahometan"
mucoso	mucous
dulzón	"sweet, sugary, honeyed"
impertérrito	"unmoved, impassive, undaunted"
*** 3901 - 3910 (/course/185945/spanish-adjectives/391/)	
arcano	"arcane, hidden"
desatinado	"foolish, crazy"
terroso	"earthy, muddy"
pingüe	"fat, rich, pinguid"
mohoso	"musty, moldy, mildewed"
subcutáneo	subcutaneous
ubicuo	"ubiquitous, omnipresent"
acético	acetic
expeditivo	expeditious
inaplicable	inapplicable
*** 3911 - 3920 (/course/185945/spanish-adjectives/392/)	
fotoeléctrico	"photoelectric, photoelectrical"
charro	"rodeo, Salamancan, gaudy"
fanfarrón	"boaster, braggart, loud-mouthed"
penitencial	penitential
amoniaco	ammoniac
bienal	"biennial, two-year, two yearly"
yermo	"deserted, uninhabited, waste"
malintencionado	malicious
curvilíneo	curved
fiduciario	"trust, fiduciary"
*** 3921 - 3930 (/course/185945/spanish-adjectives/393/)	
eximio	"distinguished, eminent"
mímico	mimic
diurético	diuretic
hilarante	hilarious
expendedor	vending
cerdoso	"bristly, stubbly, setaceous"
distinguible	distinguishable
majadero	"stupid, dumb"
limonado	lemon
avasallador	overwhelming
*** 3931 - 3940 (/course/185945/spanish-adjectives/394/)	
sociopolítico	sociopolitical
comedero	edible
epidémico	epidemic
inepto	"inept, unsuitable, useless"
pluricelular	pluricellular
psicópata	psychopathic
indiviso	undivided
cadavérico	"cadaverous, cadaveric, ghastly"
copulativo	copulative
calibrado	calibrated
*** 3941 - 3950 (/course/185945/spanish-adjectives/395/)	
desventajoso	"disadvantageous, disadvantaged"
interdisciplinario	"interdisciplinary, cross-discipline"
radiado	radiate
embotellado	"bottled, jammed, backed up"
extático	"ecstatic, rapturous, enraptured"
prístino	"pristine, primeval"
blasfemo	"blasphemous, profane"
taimado	"devious, sly, astute"
extrínseco	extrinsic
chiquitito	"tiny, teeny, weeny"
*** 3951 - 3960 (/course/185945/spanish-adjectives/396/)	
sinóptico	"synoptic, synoptical"
trunco	"incomplete, shattered, truncated"
inquisitivo	inquisitive
marital	marital
promisorio	promissory
remiso	remiss
truhán	"shameless, naughty"
presbiteriano	Presbyterian
autocrático	autocratic
costanero	coastal
*** 3961 - 3970 (/course/185945/spanish-adjectives/397/)	
huidizo	"elusive, evasive, shy"
genitivo	genitive
amoratado	"purplish, bruised"
sedicioso	seditious
remitente	sender
alborozado	merry
antillano	Antillean
meditativo	meditative
refulgente	"refulgent, effulgent, resplendent"
esquizofrénico	schizophrenic
*** 3971 - 3980 (/course/185945/spanish-adjectives/398/)	
sésil	sessile
infrahumano	subhuman
calmo	"calm, uncultivated land, undeveloped land"
amatorio	"amatory, amative"
bivalvo	bivalve
alpinista	mountaineering
aguado	"watery, washy, thin"
aguileño	aquiline
achacoso	"ailing, wrecked, knackered"
pregonero	town crier
*** 3981 - 3990 (/course/185945/spanish-adjectives/399/)	
tuberculoso	"tuberculous, tubercular, consumptive"
misógino	"misogynist, misogynistic"
multiforme	multiform
reiterativo	reiterative
masoquista	"masochistic, masochist, submissive"
mocho	"pollarded, cut off, blunted"
rúnico	runic
chupado	"skin-and-bone, skinny, dead easy"
superlativo	"superlative, supreme"
trigonométrico	"trigonometric, trig"
*** 3991 - 4000 (/course/185945/spanish-adjectives/400/)	
córneo	"horny, corneous"
irrecuperable	"irrecoverable, irretrievable, incurable"
incruento	bloodless
carbónico	carbonic
operatorio	operative
pedestre	"pedestrian, walking, on foot"
prenatal	"prenatal, antenatal"
desarrapado	shabby
siamés	Siamese
díscolo	"unruly, fractious, rebellious"
*** 4001 - 4010 (/course/185945/spanish-adjectives/401/)	
votivo	votive
aborrecible	"abhorrent, loathsome, hateful"
craso	"gross, crass, grievous"
heliocéntrico	heliocentric
carnicero	"meat-eating, carnivorous"
contrahecho	"misshapen, counterfeit, faked"
plañidero	plangent
sesudo	"sensible, brainy"
suntuario	sumptuary
zulú	Zulu
*** 4011 - 4020 (/course/185945/spanish-adjectives/402/)	
artero	tricky
reticular	"reticulate, reticulated"
venéreo	venereal
irreducible	irreducible
deleitoso	delightful
bianual	"biannual, twice-yearly"
creído	"conceited, vain, stuck-up"
serpentino	"serpentine, anguine, snaky"
pueblerino	"village, provincial, rustic"
apolítico	"apolitical, nonpolitical"
*** 4021 - 4030 (/course/185945/spanish-adjectives/403/)	
cachondo	"horny, randy, hot"
ladeado	"lopsided, askew, inclined"
ternario	ternary
saltarín	"lively, restless"
mañoso	"thief, handy, skillful"
ondulatorio	undulatory
funicular	funicular
principesco	princely
quijotesco	quixotic
tozudo	"stubborn, obstinate"
*** 4031 - 4040 (/course/185945/spanish-adjectives/404/)	
alevoso	"treacherous, premeditated"
declaratorio	declaratory
motivador	"motivating, motivational"
oxigenado	oxygenated
cohesivo	cohesive
ortopédico	"orthopedic, orthopaedic"
premonitorio	premonitory
inhabitable	uninhabitable
atávico	"atavistic, ancestral"
cochino	"dirty, hoggish, swinish"
*** 4041 - 4050 (/course/185945/spanish-adjectives/405/)	
orondo	"rotund, chubby, orotund"
testamentario	testamentary
coriáceo	coriaceous
generativo	generative
detallista	"meticulous, detail-oriented, perfectionist"
olfativo	olfactory
fónico	phonic
abstruso	abstruse
cegador	blinding
conformista	conformist
*** 4051 - 4060 (/course/185945/spanish-adjectives/406/)	
insinuado	implied
merovingio	Merovingian
microbiano	microbial
oclusivo	occlusive
rabínico	rabbinic
reumático	rheumatic
filoso	sharp
planchado	"bummed out, depressed, glum"
maniqueo	Manichaean
laudable	"praiseworthy, laudable"
*** 4061 - 4070 (/course/185945/spanish-adjectives/407/)	
rabón	tailless
impagado	unpaid
estofado	stewed
alsaciano	Alsatian
inextinguible	"inextinguishable, quenchless"
justificativo	justificatory
glotón	"gluttonous, piggish, greedy"
nudoso	"knotty, gnarled, knurled"
primerizo	"beginner, first-timer, green"
profiláctico	"prophylactic, preventive"
*** 4071 - 4080 (/course/185945/spanish-adjectives/408/)	
adventicio	adventitious
avispado	"bright, quick-witted, sharp"
cartujo	Carthusian
cremoso	creamy
almidonado	starched
vacuo	"vacuous, inane, empty"
carolino	Caroline
desapasionado	"passionless, dispassionate"
escenográfico	"scenographic, scenographical"
espirituoso	spirituous
*** 4081 - 4090 (/course/185945/spanish-adjectives/409/)	
timbrado	well-pitched
iluso	"dreamer, naive, gullible"
cansino	weary
arácnido	arachnid
ampuloso	bombastic
cuadrilátero	"quadrilateral, four-sided"
luctuoso	"tragic, sad"
basáltico	basaltic
mimoso	"cuddly, affectionate"
vidriado	glazed
*** 4091 - 4100 (/course/185945/spanish-adjectives/410/)	
hemorrágico	"hemorrhagic, haemorrhagic"
desarraigado	rootless
porfiado	"stubborn, obstinate"
umbilical	umbilical
antitético	"antithetical, antithetic"
separable	"detachable, separable, removable"
interrogador	interrogatory
adulón	greasy
carbonífero	carboniferous
piloso	"pilous, pilose"
*** 4101 - 4110 (/course/185945/spanish-adjectives/411/)	
ferroso	ferrous
mentecato	"goofy, silly"
homeopático	"homeopathic, homoeopathic"
inhábil	incompetent
transitable	"passable, accessible"
putrefacto	"putrid, putrefied, decayed"
indisciplinado	"undisciplined, lax, disorderly"
embotado	"blunt, dull, befuddled"
andrógino	androgynous
abombado	"dented, puffed, puffed out"
*** 4111 - 4120 (/course/185945/spanish-adjectives/412/)	
industrioso	industrious
insolvente	"insolvent, bankrupt"
pentagonal	pentagonal
articular	"articular, joint"
filisteo	philistine
mensurable	"measurable, mensurable"
estimativo	rough
sentencioso	"sententious, oracular, judgemental"
viudo	widowed
mullido	"fluffy, soft, springy"
*** 4121 - 4130 (/course/185945/spanish-adjectives/413/)	
glauco	glaucous
nono	"ninth, drip, dull"
liado	"rolled, tied up with, involved"
traslúcido	translucent
fálico	phallic
acusatorio	"accusatorial, accusatory, accused"
fatalista	fatalist
glúteo	gluteal
jesuítico	"Jesuitic, Jesuitical"
insomne	"sleepless, restless, wakeful"
*** 4131 - 4140 (/course/185945/spanish-adjectives/414/)	
nefando	"heinous, nameless, loathsome"
limonero	lemon
fatuo	"fatuous, conceited, foolish"
inextricable	inextricable
sónico	sonic
castrado	"castrated, neuter"
apocado	"timid, spiritless, diffident"
binocular	binocular
subatómico	subatomic
delgadito	"thin, slim, slender"
*** 4141 - 4150 (/course/185945/spanish-adjectives/415/)	
diatónico	diatonic
vivaracho	frisky
cartilaginoso	gristly
escrutador	searching
visualizado	visualized
pastoso	"pasty, doughy, thick"
asqueado	disgusted
enhiesto	"erect, straight, upright"
menesteroso	"needy, in need, underprivileged"
pancreático	pancreatic
*** 4151 - 4160 (/course/185945/spanish-adjectives/416/)	
timorato	"timorous, prudish"
cenagoso	"sludgy, boggy"
farsante	"fraud, phony, impostor"
imitativo	imitative
neoplatónico	Neoplatonic
barbado	"bearded, barbate"
centrípeto	centripetal
supletorio	"interim, temporary, stopgap"
escultural	sculptural
boyante	"buoyant, prosperous"
*** 4161 - 4170 (/course/185945/spanish-adjectives/417/)	
osmótico	osmotic
amaestrado	"performing, trained"
cabezón	"pigheaded, big-headed, stubborn"
tercermundista	"third-world country, n, Third World"
insumiso	unsubmissive
silíceo	siliceous
espiritista	spiritualist
temporero	temporary
cretense	Cretan
hebraico	Hebraic
*** 4171 - 4180 (/course/185945/spanish-adjectives/418/)	
truculento	"horrifying, gruesome, grisly"
níveo	"lily, niveous"
propiciatorio	propitiatory
sindicado	"unionised, unionized US"
caballeroso	"chivalrous, gentlemanly, gentlemanlike"
exánime	"lifeless, exanimate"
criadero	"breeding centre, breeding ground"
floreado	"flowered, flowery"
lampiño	"hairless, glabrous, depilous"
espasmódico	"spasmodic, jerky, fitful"
*** 4181 - 4190 (/course/185945/spanish-adjectives/419/)	
alarmista	"alarmist, alarming"
fofo	"flabby, soft, wobbly"
monocromo	"monochrome, monochromatic"
índico	Indian
gruñón	"grumpy, grumbler"
estrambótico	"outlandish, eccentric, odd"
lanudo	"woolly, shaggy, wooly"
biodegradable	biodegradable
homicida	"homicidal, murder"
libidinoso	"lustful, lecherous, libidinous"
*** 4191 - 4200 (/course/185945/spanish-adjectives/420/)	
rubicundo	"ruddy, rubicund, reddish-blonde"
tacaño	"stingy, mean, tight"
desaprovechado	wasted
consanguíneo	"akin, consanguineous"
asmático	asthmatic
angloparlante	"English-speaking, anglophone"
pubescente	pubescent
aireado	airy
fariseo	hypocrite
iconoclasta	iconoclastic
*** 4201 - 4210 (/course/185945/spanish-adjectives/421/)	
ptolemaico	Ptolemaic
sonámbulo	"sleepwalker, sleep-walker, somnambulist"
calar	"detect, permeable, penetrable"
manido	gamy
secretor	secretory
subrepticio	"surreptitious, undercover, secret"
campechano	"hearty, good-natured, cheerful"
vertebrado	"vertebrate, well structured"
titubeante	hesitant
pesaroso	"regretful, sorrowful"
*** 4211 - 4220 (/course/185945/spanish-adjectives/422/)	
desinfectante	disinfectant
epidérmico	"epidermal, epidermic"
indigesto	"indigestible, stodgy, heavy"
jurásico	Jurassic
apátrida	"stateless, unpatriotic"
transferible	transferable
cerril	wild
amoral	amoral
bicéfalo	bicephalous
huracanado	"hurricane, hurricane-force, violent"
*** 4221 - 4230 (/course/185945/spanish-adjectives/423/)	
impalpable	impalpable
esterilizado	sterilized
aerostático	aerostatic
despegado	"aloof, cold, distant"
alfanumérico	alphanumeric
atentado	attempted
sobornado	bribed
anestésico	anesthetic
flemático	"phlegmatic, stolid"
dormilón	sleepy
*** 4231 - 4240 (/course/185945/spanish-adjectives/424/)	
apestoso	"stinky, smelly, stinking"
halagador	"flatterer, flattering"
regordete	"chubby, dumpy, plump"
desvaído	"lacking definition, vague, ill-defined"
aclaratorio	"explanatory, illuminating, clarifying"
samaritano	Samaritan
incalificable	indescribable
profeso	professed
bituminoso	bituminous
beatífico	"beatific, beatifical"
*** 4241 - 4250 (/course/185945/spanish-adjectives/425/)	
mancomunado	"joint, jointly responsible"
triplicado	"triplicate, tripled"
pituitario	pituitary
resinoso	resinous
peliagudo	"tricky, thorny, dodgy"
persecutorio	persecutory
subido	"high, loud, bright"
antiséptico	antiseptic
sordomudo	"deaf-mute, deaf and dumb"
negrero	exploiter
*** 4251 - 4260 (/course/185945/spanish-adjectives/426/)	
extravertido	"extroverted, outgoing"
desgarbado	"gawky, ungainly, slovenly"
novelístico	novelistic
sidéreo	sidereal
mancillado	"abused, shamed, disgraced"
agnóstico	agnostic
antediluviano	antediluvian
tísico	"consumptive, phthisic"
contrito	"contrite, repentant"
lisiado	"crippled, lame, injured"
*** 4261 - 4270 (/course/185945/spanish-adjectives/427/)	
palatal	palatal
politécnico	polytechnic
vestal	vestal
vejatorio	vexatious
supernumerario	supernumerary
bulboso	bulbous
dálmata	Dalmatian
desganado	"dead, apathetic, sluggish"
hercúleo	Herculean
inconsecuente	"inconsistent, inconsequential, inconsequent"
*** 4271 - 4280 (/course/185945/spanish-adjectives/428/)	
alícuota	aliquot
laxante	laxative
pagadero	"payable, due"
viajante	travelling
madrugador	"early riser, early-rising, early"
desconsiderado	"inconsiderate, thoughtless"
alborotador	noisy
anémico	"anemic, bloodless"
fusible	fusible
inadaptado	maladjusted
*** 4281 - 4290 (/course/185945/spanish-adjectives/429/)	
inarticulado	inarticulate
regenerado	"regenerate, reclaimed"
terráqueo	"earthling, terrestrial"
rompedor	disruptive
alistado	"enlisted, inducted, joined"
obsequioso	"obliging, fulsome"
aséptico	aseptic
enunciativo	"expository, illustrative"
insectívoro	insectivorous
numerable	numerable
*** 4291 - 4300 (/course/185945/spanish-adjectives/430/)	
prostático	prostatic
roquero	rock
mocoso	"snuffly, sniffly, snotty"
ineluctable	ineluctable
tragicómico	seriocomic
átono	"atonic, unstressed, inert"
inmoderado	immoderate
cholo	"of mixed race, mixed-race"
balbuciente	"stuttering, stammering"
contumaz	"contumacious, obstinate"
*** 4301 - 4310 (/course/185945/spanish-adjectives/431/)	
desnaturalizado	denatured
bífido	bifid
borrico	"dumb, stupid, thick"
memo	"goofy, dumb, silly"
heurístico	heuristic
correoso	"leathery, tough, chewy"
procaz	"lewd, insolent, obscene"
macroscópico	macroscopic
inconformista	"nonconformist, non-conformist, non-conforming"
psicosomático	psychosomatic
*** 4311 - 4320 (/course/185945/spanish-adjectives/432/)	
acampanado	"bell-bottomed, bell-shaped, flared"
larvado	latent
salteado	"sautéed, assaulted"
amotinado	"mutinous, riotous"
fosfórico	phosphoric
demoniaco	"demonic, demoniacal, daemonic"
jamaiquino	Jamaican
aerobio	aerobic
conmutador	commutation
avieso	"evil, malicious, wicked"
*** 4321 - 4330 (/course/185945/spanish-adjectives/433/)	
mellado	"jagged, indented, notched"
inmisericorde	"pitiless, unmerciful"
calloso	"callous, horny"
empecinado	"stubborn, hard-headed"
zafio	"boorish, oafish, coarse"
chapucero	"botched, sloppy, slapdash"
herbario	herbal
zancudo	long-legged
rotacional	rotational
apoteósico	"tremendous, amazing"
*** 4331 - 4340 (/course/185945/spanish-adjectives/434/)	
abrochado	clasped
geofísico	geophysical
gustativo	gustatory
rogativo	inhibitory
maquiavélico	Machiavellian
parricida	patricidal
anquilosado	"stiff, seized up, out-of-date"
encefálico	encephalic
monosílabo	monosyllabic
mirón	"nosy, voyeuristic"
*** 4341 - 4350 (/course/185945/spanish-adjectives/435/)	
onomástico	onomastic
acanalado	"ribbed, corrugated"
deliberativo	deliberative
gamberro	"hooligan, troublemaker"
monógamo	monogamous
infamante	"offensive, slanderous, shameful"
embrollado	"embroiled, perplexed"
pendular	pendular
transicional	transitional
engañador	"deceptive, cheating, deceiving"
*** 4351 - 4360 (/course/185945/spanish-adjectives/436/)	
nudista	nudist
rimbombante	"bombastic, flamboyant, meretricious"
huero	"empty, vacuous, fatuous"
lunático	"lunatic, moonstruck"
superpoblado	overcrowded
transverso	"transverse, cross"
exangüe	"bloodless, exsanguine, anaemic"
oceanográfico	oceanographic
chirriante	scratchy
pudoroso	"shy, modest, bashful"
*** 4361 - 4370 (/course/185945/spanish-adjectives/437/)	
ocurrente	witty
rosáceo	"pinkish, rosaceous, rose"
embrutecido	coarsened
deferente	"deferential, deferent"
necrológico	"obituary, necrologic"
calumnioso	"slanderous, defamatory"
impenitente	"unrepentant, impenitent, inveterate"
recuperable	"recoverable, retrievable"
ganchudo	hooked
empalagoso	"cloying, mawkish, saccharine"
*** 4371 - 4380 (/course/185945/spanish-adjectives/438/)	
somnoliento	"drowsy, sleepy, sleep-inducing"
extraescolar	"extracurricular, out of school"
fláccido	"flaccid, flabby, limp"
fraccionario	fractional
lacrimoso	"lachrymose, tearful, lachrymal"
velador	night watchwoman
púdico	"seemly, modest, proper"
combo	"bent, warped"
jactancioso	boastful
filtrante	filtering
*** 4381 - 4390 (/course/185945/spanish-adjectives/439/)	
iridiscente	iridescent
chabacano	"tasteless, gaudy"
abrasivo	abrasive
fructuoso	"fruitful, successful, productive"
aprobatorio	"approving, approbatory"
acordonado	milled
pasteurizado	pasteurized
maceta	potted plant
curable	curable
expatriado	expatriate
*** 4391 - 4400 (/course/185945/spanish-adjectives/440/)	
chismoso	gossipy
errabundo	"wandering, roving"
concienciado	become aware
electrolítico	electrolytic
filantrópico	"philanthropic, philanthropical"
tratable	tractable
agronómico	"agronomic, agronomical"
descentrado	"off-centre UK, off-center US, unsettled"
nacarado	"pearly, nacreous, pearl"
expiatorio	expiatory
*** 4401 - 4410 (/course/185945/spanish-adjectives/441/)	
quisquilloso	"fussy, persnickety, touchy"
llorón	"weeping, maudlin, weepy"
elegíaco	elegiac
secante	"secant, siccative"
cetrino	"sallow, olive, greenish-yellow"
inopinado	unexpected
perforador	"piercing, perforating"
herrumbroso	"rusty, rust-coloured, reddish"
abastecedor	supplying
lingual	lingual
*** 4411 - 4420 (/course/185945/spanish-adjectives/442/)	
gerencial	"managerial, management"
reembolsable	"returnable, refundable"
tiznado	smutty
dominguero	"Sunday, Sunday best, Sunday driver"
obcecado	"blind, stubborn, obdurate"
velloso	"fluffy, downy, hairy"
puntilloso	"punctilious, particular, touchy"
rajado	"split, ripped, torn"
cautivador	"captivating, spellbinding, enthralling"
limitativo	limitative
*** 4421 - 4430 (/course/185945/spanish-adjectives/443/)	
amanerado	"mannered, affected, camp"
innominado	nameless
balsámico	"balsamic, balmy"
misional	missionary
perlado	"opaline, opalescent, pearly"
anticristiano	"unchristian, antichristian"
séptico	septic
morocho	"well-built, tough, dark-skinned"
beduino	Bedouin
alicaído	"crestfallen, downcast, weak"
*** 4431 - 4440 (/course/185945/spanish-adjectives/444/)	
abollado	"dented, battered"
superdotado	"exceptionally gifted, exceptional"
veleidoso	"fickle, mercurial, wayward"
ojeroso	"haggard, pinched"
patronímico	patronymic
chapado	"plated, beautiful, pretty"
reciclable	recyclable
olvidadizo	forgetful
intrauterino	intrauterine
marmóreo	"marble, marmoreal"
*** 4441 - 4450 (/course/185945/spanish-adjectives/445/)	
dehiscente	dehiscent
denario	denary
carguero	"freight, cargo"
garrafal	"monumental, terrible, enormous"
panegírico	"panegyric, panegyrical"
descreído	"unbelieving, godless, infidel"
chueco	"crooked, dodgy"
jaspeado	"marbled, variegated, mottled"
encerado	"wax, oiled, waxed"
abortivo	abortive
*** 4451 - 4460 (/course/185945/spanish-adjectives/446/)	
modificable	"adaptable, modifiable"
antisubmarino	antisubmarine
anillado	ringed
guarro	"dirty, filthy, indecent"
agorero	"pessimistic, negative"
iletrado	illiterate
leonino	leonine
melifluo	"mellifluous, honeyed, mellifluent"
achaparrado	"stumpy, scrub, scrubby"
fascinador	"fascinating, intriguing"
*** 4461 - 4470 (/course/185945/spanish-adjectives/447/)	
supino	"supine, face up, crass"
terminológico	terminological
flotador	"buoyant, floatable"
cuarentón	"fortyish, of about forty, in his [etc.] forties"
ginebrino	Genevan
hipocondríaco	hypochondriac
inenarrable	indescribable
locativo	locative
predicativo	predicative
aleccionador	"sobering, instructive, enlightening"
*** 4471 - 4480 (/course/185945/spanish-adjectives/448/)	
estatuario	statuesque
tecnócrata	technocratic
irrecusable	"unimpeachable, irrecusable"
advenedizo	"upstart, intrusive, meddlesome"
disuasivo	"deterrent, dissuasive"
laudatorio	laudatory
palmeado	"palmate, webbed"
sahariano	"Saharan, Saharian"
albano	Albanian
pecoso	"freckled, freckly"
*** 4481 - 4490 (/course/185945/spanish-adjectives/449/)	
inclasificable	nondescript
ruborizado	"blushing, go red"
recalentado	reheated
cuadriculado	"squared, gridded, graph paper"
antípoda	antipodal
lacerado	"lacerated, lacerate"
farragoso	"tedious, stodgy"
bilioso	bilious
cismático	"schismatical, schismatic"
amniótico	amniotic
*** 4491 - 4500 (/course/185945/spanish-adjectives/450/)	
petulante	conceited
interracial	interracial
sincopado	jazzy
papista	"popish, papistic"
bracero	"temporary labourer, temporary laborer, emigrant labourer"
impoluto	"unpolluted, spotless, unblemished"
inhibitorio	inhibitory
anexionista	annexationist
manco	one-armed
ahorrativo	"thrifty, saving"
*** 4501 - 4510 (/course/185945/spanish-adjectives/451/)	
cimero	top
tarado	"cretin, moron, loony"
inconsolable	"inconsolable, disconsolate"
indoloro	painless
faríngeo	"pharyngeal, pharyngal"
reverencial	reverential
estereofónico	"stereophonic, stereo"
elusivo	elusive
rogado	invited
polícromo	"polychrome, polychromatic"
*** 4511 - 4520 (/course/185945/spanish-adjectives/452/)	
pírrico	pyrrhic
roñoso	"dirty, filthy, rusty"
temblón	shaky
volteado	"turned over, topsy-turvy, messed up"
difamatorio	"defamatory, slanderous, scandalous"
adverbial	adverbial
ergonómico	ergonomic
fungicida	fungicidal
juncal	"handsome, dashing"
seudónimo	pseudonymous
*** 4521 - 4530 (/course/185945/spanish-adjectives/453/)	
conciliatorio	conciliatory
digerible	digestible
purulento	purulent
aprensivo	"apprehensive, nervous, squeamish"
ferromagnético	ferromagnetic
agustiniano	Augustinian
compresor	compression
borrachín	sot
atributivo	attributive
chusco	funny
*** 4531 - 4540 (/course/185945/spanish-adjectives/454/)	
modular	modular
fonográfico	phonographic
crespo	"curly, crisp, frizzy"
sedero	silk
entreverado	"streaky, mixed"
superable	surmountable
surreal	surreal
desemejante	unlike
infecundo	"barren, sterile, infertile"
cebado	"fattened, fattened-up"
*** 4541 - 4550 (/course/185945/spanish-adjectives/455/)	
camorrista	hooligan
casadero	marriageable
lacrimógeno	tearful
inatacable	unassailable
seroso	serous
fijador	fixative
sexagésimo	sixtieth
sucedáneo	"surrogate, substitute, ersatz"
contaminador	polluting
derechito	"straight, right"
*** 4551 - 4560 (/course/185945/spanish-adjectives/456/)	
transcontinental	transcontinental
serrado	"serrated, serrate"
somnífero	"sleep-inducing, somniferous"
antojadizo	"whimsical, fanciful, unpredictable"
falible	fallible
granulado	"granulated, powdered, ground"
invertebrado	invertebrate
apelativo	last name
calentador	warming
bipartito	bipartite
*** 4561 - 4570 (/course/185945/spanish-adjectives/457/)	
capcioso	captious
ilíaco	iliac
incorrupto	"incorrupt, undefiled"
lúbrico	lubricious
paleozoico	"paleozoic, palaeozoic"
polígamo	polygamous
geminado	geminate
aniñado	childish
foliar	foliar
hipodérmico	hypodermic
*** 4571 - 4580 (/course/185945/spanish-adjectives/458/)	
irremplazable	irreplaceable
alcoholizado	alcoholic
asonante	assonant
inhabitado	"inhabited, unsettled"
definible	definable
intransitivo	intransitive
irisado	"iridescent, chatoyant"
larguirucho	"lanky, gangling"
noctámbulo	"sleep walker, night owl, nocturnal"
rastreador	"trawler, tracker, tracking"
*** 4581 - 4590 (/course/185945/spanish-adjectives/459/)	
argivo	Argive
desalado	desalted
flexivo	"inflectional, inflexional"
filiforme	filiform
yámbico	iambic
sacio	sated
herboso	grassy
chicha	"beautiful, delightful"
irreprimible	irrepressible
olfatorio	olfactory
*** 4591 - 4600 (/course/185945/spanish-adjectives/460/)	
polimorfo	polymorphous
ruano	roan
amatista	amethyst
bilabial	bilabial
sofístico	"sophistic, sophistical"
mesozoico	Mesozoic
gangoso	"nasal, twangy"
parasimpático	parasympathetic
sañudo	vicious
dicharachero	"wit, chatterbox, talkative"
*** 4601 - 4610 (/course/185945/spanish-adjectives/461/)	
trigueño	"dark, olive, olive-skinned"
eferente	efferent
lelo	"halfwit, inane, stupid"
erial	uncultivated land
vociferante	vociferous
espermático	spermatic
contráctil	contractible
mozambiqueño	Mozambican
cicatero	niggardly
sembrador	sowing
*** 4611 - 4620 (/course/185945/spanish-adjectives/462/)	
almibarado	"syrupy, sugary, sugared"
hortera	"tasteless, vulgar, tacky"
tuberoso	tuberous
inabordable	unapproachable
desarreglado	"tousled, disorderly, disordered"
inmotivado	wanton
anticoagulante	anticoagulant
arable	arable
correccional	correctional
equilátero	equilateral
*** 4621 - 4630 (/course/185945/spanish-adjectives/463/)	
encandilado	high
malva	mauve
musculado	muscular
teutónico	Teutonic
ornitológico	ornithological
sabático	"sabbatical, Saturday"
afrodisíaco	aphrodisiac
calenturiento	"feverish, horny, randy"
flácido	"flabby, flaccid"
entrecano	"grizzled, greyish"
*** 4631 - 4640 (/course/185945/spanish-adjectives/464/)	
intelectivo	intellective
enloquecedor	"maddening, excruciating"
orgiástico	orgiastic
fragoso	rocky
bisoño	"rookie, untried, inexperienced"
rasposo	"rough, scratchy, rough-tasting"
putativo	putative
admirativo	admiring
autárquico	"autarchic, autarchical"
morenito	"black person, dark-skinned person, dark-haired"
*** 4641 - 4650 (/course/185945/spanish-adjectives/465/)	
bifurcado	forked
avaricioso	"miserly, avaricious"
protuberante	protuberant
sibilino	Sibylline
tropezón	small pieces of meat added to soup
apaisado	"oblong, landscape"
fotométrico	"photometric, photometrical"
ingrávido	weightless
hacendoso	"hard-working, industrious, house-proud"
marinado	marinated
*** 4651 - 4660 (/course/185945/spanish-adjectives/466/)	
filarmónico	philharmonic
corruptible	corruptible
dorio	Dorian
glutinoso	glutinous
prosódico	prosodic
soplón	sneaky
mohíno	sulky
incriminatorio	"incriminating, incriminatory"
mojigato	"prudish, sanctimonious, priggish"
acromático	achromatic
*** 4661 - 4670 (/course/185945/spanish-adjectives/467/)	
beodo	"drunk, sot, pissed"
cagado	"gutless, yellow"
remilgado	"prim, squeamish, mincing"
discorde	"discordant, jarring"
dadivoso	"generous, giving, charitable"
rotulado	"labeled, lettered"
malteado	malted
policromo	"polychrome, polychromatic"
chiquitín	"teeny, tiny"
intraducible	untranslatable
